Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	gene_length	Entity	Symbol
gene-b2751	58270.05205290579	27505.778839066945	29438.151211447133	1876.2243019413734	3809.9397572985663	1848.1920556920688	61.04536780706538	37.34658577849004	12.98719009426178	19.29359105907353	16.12355327257117	5.802123002481134	12.670242308739551	6.615019996458274	1428.0	host	cysN
gene-b1314	903.9319153477132	508.54387626276997	328.4814779821381	37.04586223931588	32.38391757449735	24.175548491837514	0.6052796452091086	0.41126772486335655	0.13761904357193183	0.25277600123007143	0.18482486285215222	0.08294771560319979	0.1290109327934206	0.07084279070160278	789.0	host	ycjR
gene-b1821	24170.776365339985	20534.783073137256	15697.888996006257	3263.5489767349136	3497.038260104062	2762.3936402555737	30.11106108025049	34.87621987490478	13.366813917816835	15.326097459312306	12.688047551423587	6.025164065767666	10.0981771799612	5.27403961146509	567.0	host	mntP
gene-b4418	117732.08716843357	69857.32142442289	71726.8601168865	6091.63096147488	4338.912091623027	6848.9693006131865	87.60079788266027	117.23663899897022	22.230279988684	30.40213675656657	29.24206385342286	8.751916544419508	11.744956843154869	6.945527805531695	169.0	host	sraB
gene-b1084	123252.5713674714	61257.328577125816	60531.54517366343	5804.570544129599	5370.263656771439	5178.870911485163	91.90708130124577	125.70536739840563	28.546077180422394	26.76254295437458	30.63614230121563	12.41538288011389	15.615090927431526	10.70179746916962	3186.0	host	rne
gene-b1163	1899.090982818165	850.0112890303257	1014.203986261965	133.56824968843972	128.51118246749283	152.3728680202797	4.038818325674392	5.795593401743608	1.0213104367261536	1.191062402778564	1.1096099920791065	0.42118550442674274	0.5354033544424972	0.29976670966433155	1212.0	host	bluF
gene-b0472	232224.0551102438	107685.99158501383	105403.89862043023	9856.223758259448	10290.135850970122	8751.78247586902	178.01760215951592	242.0920156837031	69.87913514442103	68.43907253860512	81.81702592197749	19.741720566463737	26.308251102605844	20.291900346508598	606.0	host	recR
gene-b3628	0.0	3.3470230094371494	0.0	0.0	0.0	0.0	0.015792514552578924	0.0	0.0	0.0087936624766546	0.0	0.0	0.0	0.0	1080.0	host	waaB
gene-b2586	15108.52195042245	9438.604886612762	8387.661570453425	827.5356951183077	789.6886485857231	673.0132858663075	12.212877920661034	12.430544583792072	3.083176276172651	3.8105870732169937	3.950726517982682	1.575545775818556	2.3169706529577634	2.2426990871183325	324.0	host	yfiM
gene-b0737	43668.78719066801	31265.541691272123	23251.20693524327	2439.820995751894	2204.118987464449	2482.838820007784	45.285548223499056	45.171376391154304	13.349404678538615	14.334811871034878	11.012414735971454	6.459580283675679	9.382124616291222	6.0089100416097585	693.0	host	tolQ
gene-b0882	215029.19219217973	146063.02578464057	96068.72059858835	13047.403344600038	10189.559599164146	8030.149202537252	87.4443390767461	82.88923616887952	33.904871956055665	39.339995800698595	33.508928915519895	19.832044730583224	28.50400099327071	17.4165460879223	2277.0	host	clpA
gene-b1151	17.0982518510104	0.0	15.622175173472389	0.5929321913911926	0.7384229514559394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	474.0	host	beeE
gene-b4141	8310.893003533367	3767.198213008496	2986.7063590600937	535.9399453862072	468.91091059614496	381.4349747346883	3.432893139496154	3.386275557421171	1.1920633812409773	1.4506394997287975	1.4437022434826297	0.7289104745846818	1.0021055063073667	0.6225373636355643	1257.0	host	yjeH
gene-b3682	1734.3115704679192	840.4746668142177	716.1127952975677	109.2971672797765	85.70264403255909	71.3599242800591	0.9124563963712269	1.138975649067836	0.6255719980640161	0.4494538599179018	0.3333946428677369	0.08079721927274647	0.15708275613272973	0.05750510479790596	486.0	host	glvB
gene-b1014	28608.33938888565	5925.218871271265	10336.605558989086	535.2216209325013	273.26232904249724	399.710110311624	5.569102936543048	12.229011094606598	3.709796870102352	2.3485269657560512	5.049376699360191	1.2682900369717418	1.1494034222399436	1.4386288443309585	3963.0	host	putA
gene-b3169	200985.7448902284	111934.43652036451	92272.75561796564	8455.29433832916	7695.805292419087	8533.884428575142	338.10372708199884	358.1245405762992	105.04961019794003	105.47076224519805	97.07631957033702	28.940391080637376	38.889383310634436	27.064731198049923	1488.0	host	nusA
gene-b4421	39622.34895607477	21856.06025162459	17689.509688095237	2313.456707421936	2378.7885146180056	1894.6059896355694	35.849008034354156	51.784117010204895	13.271063101786627	15.916529082744828	15.15278651833864	4.12065818291007	6.244039556276007	3.8815945738586524	108.0	host	ldrB
gene-b3427	201.17730369380325	102.54708794871269	105.03419903866543	14.949460570182197	11.170611031599426	13.83547468089444	0.7862656181496743	0.40612044420173765	0.07700810310514485	0.2020671377614249	0.11491474924377314	0.09283084767507042	0.0	0.0	282.0	host	yzgL
gene-b1126	25076.4134614064	15447.880023820157	13064.42526881722	1352.3516069076302	1453.9216695429325	1508.7116655983973	34.966877340216705	46.61955519504537	10.50479928901316	10.867017829989312	9.220165197239833	3.349993413329652	4.610523955726875	3.564102669400557	1137.0	host	potA
gene-b0583	2192.541048952754	803.285522264916	643.9053071500794	103.63996400442574	89.61672167379763	78.88374238350012	0.7690267956038433	0.7069504028696914	0.2098191794748874	0.24469321674169325	0.2870093012513561	0.0632326063873668	0.2048905514774736	0.2700239703553845	621.0	host	entD
gene-b1766	32636.502294043963	18066.137961568704	16173.569815136405	1400.5575619760698	1310.3321238229842	1378.7394481680274	22.74122095571365	31.936113272124686	6.548798945807471	7.154830645787276	8.105852497949703	3.397399068224629	4.165865144870584	3.2507570712250815	1857.0	host	sppA
gene-b1403	265.72365171734197	128.39399741119558	101.15998677904253	9.982645255061554	9.563182486068724	4.737831038266219	0.09320172522833464	0.10430415780044626	0.05933411222855422	0.0	0.0	0.035762703612527126	0.0	0.0	366.0	host	insC2
gene-b3344	27735.644269252338	15814.683719590534	13904.777382735325	1764.368557516392	1767.5630189000822	1496.8190117269148	12.981446962219877	13.149277493376259	5.429071268912711	6.72715179464077	4.950910446585892	3.1268523858552886	4.948106818180987	3.260539442041268	360.0	host	tusC
gene-b3157	253418.3690115286	144543.196876349	105657.50198553201	13933.648995712763	10803.718518161557	7653.749455757328	49.770786434504735	46.64660743963615	25.23225504028003	30.137640039990647	30.183836364224433	15.382867152739239	20.115568942482707	14.905323163617222	525.0	host	ubiT
gene-T4p055	0.0	0.0	643.9053071500794	325.8549086602032	480.21035764827417	504.71633401124416	1235.6887343218757	972.7330173746575	2242.862118996809	2290.0073488552757	1766.2030563915268	1510.8798970197427	1731.0383132125835	1608.802815377381	207.0	phage	46.1
gene-T4p242	0.0	31.708639036772993	292.2991196931281	11587.143298081568	13992.823447346056	16001.89965197999	3268.15283260927	4214.43831681274	1168.5837789173693	1240.1285648919195	1695.4854751384623	374.30374949406024	557.8897427972405	486.13907620810784	228.0	phage	frd.3
