Geneid	Entity	Symbol	0.0	15.0	60.0	120.0
gene-VC_RS11855	host	rnc	1698.6977790291476	5443.707844659866	221.68217709347834	184.0034872962292
gene-VC_RS08875	host	ybgC	2583.860511540397	9148.975400436371	233.63937128835107	152.97711594624715
gene-VC_RS06875	host	gene-VC_RS06875	2964.020181981083	9840.785501514993	290.421842253959	199.1238957938925
gene-VC_RS03725	host	secD	3512.8066311355906	9190.319185278644	250.79440468442132	218.46875419404373
gene-VC_RS03860	host	gene-VC_RS03860	11802.922467959785	27186.197017392893	4435.681616235371	6372.790334402703
gene-VC_RS11865	host	lepA	6573.407238292647	16771.368874405147	996.5993415718082	819.1319912222883
gene-VC_RS09675	host	gene-VC_RS09675	2609.5654055921946	6954.49911579539	273.55983866172943	234.06401071856772
gene-VC_RS10275	host	gene-VC_RS10275	567.4159586318826	1756.6846037337755	68.97437041039952	73.26672110452985
gene-VC_RS02195	host	rplU	64968.30438185063	198679.77417138318	6987.522355582347	11431.574644125974
gene-VC_RS15340	host	gene-VC_RS15340	2759.503944122639	6619.258439000943	579.7432625337686	1025.7237248284107
gene-VC_RS04835	host	gene-VC_RS04835	1553.3300871710544	5065.7023415886415	127.94694852466331	148.63230561619284
gene-VC_RS04765	host	miaB	2699.4783363856864	7578.928696149676	518.0936652235529	429.5009120217888
gene-VC_RS01375	host	gene-VC_RS01375	227.88919063163502	585.176453285635	39.351770340569054	50.22565834421861
gene-VC_RS10190	host	smrB	2294.8120676633894	6728.172099800297	330.4288253818715	232.12033867216533
gene-VC_RS17250	host	gene-VC_RS17250	2725.04681223245	9157.008737593871	298.557754643853	314.00968551600164
gene-VC_RS14360	host	gene-VC_RS14360	1440.1997301829988	3641.0629384130057	379.5241305259413	426.1134834551038
gene-VC_RS02670	host	folK	2904.010159665874	7610.834439313924	449.6432130203137	343.9888290678245
gene-VC_RS08985	host	gene-VC_RS08985	1508.2133792548561	5020.592644154043	179.89528498786754	242.89458329719378
gene-VC_RS07960	host	gene-VC_RS07960	550.1157572260386	1572.0983944866825	72.59916717233493	83.12906839400944
gene-VC_RS06525	host	gene-VC_RS06525	4494.205468799343	10645.952654463565	1072.7320793817166	798.2475088322908
gene-VC_RS07440	host	gene-VC_RS07440	1106.4397809173977	3401.7388963978174	101.33234053319093	65.63412595140422
gene-VC_RS07215	host	gene-VC_RS07215	1367.783464557369	3325.4800103433336	155.53571683808522	159.00162764271298
gene-VC_RS00580	host	lysA	2533.6180278767515	8028.749940020892	234.7007038720245	161.01552980368018
gene-VC_RS05655	host	gene-VC_RS05655	3754.7328702028162	11606.757946305917	279.15480739280366	199.10540042014324
gene-VC_RS06145	host	gene-VC_RS06145	1669.456481279174	4812.045379993444	274.12087484949393	235.05053367811954
gene-VC_RS09300	host	gene-VC_RS09300	96.37867865681754	282.64459842184453	18.329139866657414	27.753685022741724
gene-VC_RS17570	host	gene-VC_RS17570	911.5030366345637	2944.82122079045	99.21142588406889	104.38599214301485
gene-VC_RS16345	host	moeB	751.8733885078007	1939.3508871743563	117.34456677743383	112.96709074098715
gene-VC_RS17065	host	gene-VC_RS17065	901.2757859214012	2259.7940730353876	110.90929466277964	116.13734424967167
gene-VC_RS17350	host	gene-VC_RS17350	3483.1895928253384	9124.749787633453	592.6489158003028	350.6311717896024
gene-VC_RS15895	host	fruB	201.20048865667616	413.89008905821925	30.765685066626773	35.890721057686314
gene-VC_RS01840	host	rpsF	53551.593902078384	123068.27396860324	5141.666383830869	3493.6456781952234
gene-VC_RS06580	host	gene-VC_RS06580	759.8954894316387	2162.579057146144	153.51088508557885	159.52665467448287
gene-VC_RS05405	host	gene-VC_RS05405	2416.8975219767053	6645.049078858232	288.5532557739327	264.10074110188475
gene-VC_RS15505	host	gene-VC_RS15505	1063.086588910251	2918.2529643480193	205.7563972699854	295.7130534846495
