Geneid	Entity	Symbol	0.0	2.5	5.0	10.0	20.0	30.0
gene-b0378	host	yaiW	356205.6642807141	109523.12172066027	4015.1034585075777	69.10242538580081	10.960460719228525	11.962299461995652
gene-b3128	host	garD	27591.265514972474	7666.182190380597	253.64584799539483	5.698186162882875	1.2478723492264834	1.699001728193052
gene-b3532	host	bcsB	44541.23618365487	13092.660725733345	520.6592419400349	8.013580613225953	1.3424307919523282	2.1527608270183682
gene-b0048	host	folA	1695821.0586724342	684799.5071753658	29796.37888816308	599.4934643267525	62.20523161903849	43.14587563122014
gene-b3636	host	rpmG	49842757.454759836	25989761.89615256	1060516.9452746867	20622.409298843377	1708.8932651888124	1210.4330250511198
gene-b3228	host	sspB	2953991.5649355575	1261223.844611538	53699.359823231294	773.9058133672609	124.78357965173306	110.89231660097852
gene-b4771	host	ychT	314510.30154608015	154838.8459788447	4601.966057099216	148.12772732097625	10.122851265253317	14.942049937003482
gene-b1695	host	ydiO	8378.790240819635	3049.6470760187226	108.44182139220544	2.139987638328622	0.44540349765142173	0.6083171417575304
gene-b2871	host	ygeX	18359.552574357214	6018.072427672596	230.48568351897046	4.982932657549649	0.9050510686656936	1.268904855653391
gene-b2611	host	ypjD	143210.3084862806	56878.2592141075	1648.1574348619436	39.70347618671875	4.806243656662183	5.191192069628574
gene-b0467	host	priC	562860.673254693	147459.3474903476	5301.478717105161	102.48207068074947	23.17751631822378	21.195773597635977
gene-b0693	host	speF	13041.993502130474	4874.255543700387	179.39577511852332	5.639403195058367	0.6276809663162316	0.9431374975037476
gene-b0116	host	lpd	12911765.946613139	4292686.525142226	208621.819163038	4146.176458133336	749.9043756972907	492.5149936639459
gene-b1715	host	pheM	2892123.3464493686	1399219.6150245753	39991.01370978254	963.463281839655	81.58018365993883	76.04155200345338
gene-b3091	host	uxaA	63442.332239237745	19422.65473951651	758.5216805575719	12.43761417789127	3.007345518588128	2.741031061444887
gene-b3266	host	acrF	40407.35861406298	13505.441482848582	451.179032241712	10.587043952588594	3.462246031673507	2.5720815840161455
gene-b1845	host	ptrB	204162.28366687958	62566.11395209524	1799.088693634039	27.890791859401823	5.041718441648246	6.40879764936369
gene-b1838	host	pphA	96095.12452119868	82709.9820939071	2080.834778978155	22.93172582397885	3.541718256866134	4.029124832629703
gene-b1176	host	minC	2342002.5393995824	592573.7832728629	20815.000254388375	361.7095207887738	68.08605498573289	68.2093921644348
gene-b4434	host	azuR	932656.5339431965	747628.9872790581	15204.76920150323	737.2016725480856	32.985429034915484	30.308001618524226
